Run,Total_H_per_s,NumDevices,SpeedLines
455,9152100000.000,1,"Speed.#1.........: 9152.1 MH/s (76.50ms) @ Accel:8 Loops:1024 Thr:1024 Vec:1"
456,9151600000.000,1,"Speed.#1.........: 9151.6 MH/s (76.48ms) @ Accel:8 Loops:1024 Thr:1024 Vec:1"
457,9151100000.000,1,"Speed.#1.........: 9151.1 MH/s (76.49ms) @ Accel:8 Loops:1024 Thr:1024 Vec:1"
458,9154900000.000,1,"Speed.#1.........: 9154.9 MH/s (76.47ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
459,9154500000.000,1,"Speed.#1.........: 9154.5 MH/s (76.48ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
460,9158500000.000,1,"Speed.#1.........: 9158.5 MH/s (76.45ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
461,9156400000.000,1,"Speed.#1.........: 9156.4 MH/s (76.45ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
462,9151300000.000,1,"Speed.#1.........: 9151.3 MH/s (76.52ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
463,9157200000.000,1,"Speed.#1.........: 9157.2 MH/s (76.47ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
464,9151800000.000,1,"Speed.#1.........: 9151.8 MH/s (76.49ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
465,9156400000.000,1,"Speed.#1.........: 9156.4 MH/s (76.48ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
466,9150000000.000,1,"Speed.#1.........: 9150.0 MH/s (76.52ms) @ Accel:8 Loops:1024 Thr:1024 Vec:1"
467,9156700000.000,1,"Speed.#1.........: 9156.7 MH/s (76.46ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
468,9151800000.000,1,"Speed.#1.........: 9151.8 MH/s (76.50ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
469,9156200000.000,1,"Speed.#1.........: 9156.2 MH/s (76.48ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
470,9154600000.000,1,"Speed.#1.........: 9154.6 MH/s (76.48ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
471,9154700000.000,1,"Speed.#1.........: 9154.7 MH/s (76.48ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
472,9156500000.000,1,"Speed.#1.........: 9156.5 MH/s (76.48ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
473,9154200000.000,1,"Speed.#1.........: 9154.2 MH/s (76.47ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
474,9150100000.000,1,"Speed.#1.........: 9150.1 MH/s (76.51ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
475,9152700000.000,1,"Speed.#1.........: 9152.7 MH/s (76.48ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
476,9153500000.000,1,"Speed.#1.........: 9153.5 MH/s (76.49ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
477,9154000000.000,1,"Speed.#1.........: 9154.0 MH/s (76.49ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
478,9157300000.000,1,"Speed.#1.........: 9157.3 MH/s (76.47ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
479,9153700000.000,1,"Speed.#1.........: 9153.7 MH/s (76.48ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
480,9146800000.000,1,"Speed.#1.........: 9146.8 MH/s (76.53ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
481,9154400000.000,1,"Speed.#1.........: 9154.4 MH/s (76.49ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
482,9154200000.000,1,"Speed.#1.........: 9154.2 MH/s (76.46ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
483,9161100000.000,1,"Speed.#1.........: 9161.1 MH/s (76.45ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
484,9158400000.000,1,"Speed.#1.........: 9158.4 MH/s (76.47ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
485,9153400000.000,1,"Speed.#1.........: 9153.4 MH/s (76.46ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
486,9157100000.000,1,"Speed.#1.........: 9157.1 MH/s (76.44ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
487,9156000000.000,1,"Speed.#1.........: 9156.0 MH/s (76.48ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
488,9155500000.000,1,"Speed.#1.........: 9155.5 MH/s (76.48ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
489,9158500000.000,1,"Speed.#1.........: 9158.5 MH/s (76.43ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
490,9158200000.000,1,"Speed.#1.........: 9158.2 MH/s (76.46ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
491,9158700000.000,1,"Speed.#1.........: 9158.7 MH/s (76.46ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
492,9143300000.000,1,"Speed.#1.........: 9143.3 MH/s (76.57ms) @ Accel:8 Loops:1024 Thr:1024 Vec:1"
493,9152000000.000,1,"Speed.#1.........: 9152.0 MH/s (76.48ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
494,9154400000.000,1,"Speed.#1.........: 9154.4 MH/s (76.48ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
495,9151000000.000,1,"Speed.#1.........: 9151.0 MH/s (76.50ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
496,9150700000.000,1,"Speed.#1.........: 9150.7 MH/s (76.50ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
497,9150700000.000,1,"Speed.#1.........: 9150.7 MH/s (76.53ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
498,9155200000.000,1,"Speed.#1.........: 9155.2 MH/s (76.47ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
