Run,Points,InputLen_bytes,Time_ms
230,3,44,3.755141000
231,3,44,3.707636000
232,3,44,3.721204000
233,3,44,3.846169000
234,3,44,3.722782000
235,3,44,3.774298000
236,3,44,4.013452000
237,3,44,3.788965000
238,3,44,3.748644000
239,3,44,3.728532000
240,3,44,3.649451000
241,3,44,3.673224000
242,3,44,4.346327000
243,3,44,4.249005000
244,3,44,3.833898000
245,3,44,3.720302000
246,3,44,3.695677000
247,3,44,3.728655000
248,3,44,3.645644000
249,3,44,3.695565000
250,3,44,3.642770000
251,3,44,3.926110000
252,3,44,3.865061000
253,3,44,3.670997000
254,3,44,3.684185000
255,3,44,3.760870000
256,3,44,3.727008000
257,3,44,3.717737000
258,3,44,3.623102000
259,3,44,3.814275000
260,3,44,3.758544000
261,3,44,3.590441000
262,3,44,3.709353000
263,3,44,3.735956000
264,3,44,3.703090000
265,3,44,3.667802000
266,3,44,3.744799000
267,3,44,3.667545000
268,3,44,3.717332000
269,3,44,3.657326000
270,3,44,3.726361000
271,3,44,3.694254000
272,3,44,3.666922000
273,3,44,3.820667000
274,3,44,3.755944000
275,3,44,3.929222000
276,3,44,3.829741000
277,3,44,3.682169000
278,3,44,3.685889000
279,3,44,3.704097000
280,3,44,3.674237000
281,3,44,3.692941000
282,3,44,3.711871000
283,3,44,4.065727000
284,3,44,3.965996000
285,3,44,3.685413000
286,3,44,3.649403000
287,3,44,3.703793000
288,3,44,3.695018000
289,3,44,3.699326000
290,3,44,3.744622000
291,3,44,4.035205000
292,3,44,4.027536000
293,3,44,3.672255000
294,3,44,3.690625000
295,3,44,3.784866000
296,3,44,3.735540000
297,3,44,3.814094000
298,3,44,3.774720000
299,3,44,3.951569000
300,3,44,4.097416000
301,3,44,3.882759000
302,3,44,3.752699000
303,3,44,3.768718000
304,3,44,3.691787000
305,3,44,3.714420000
306,3,44,3.574623000
307,3,44,4.022787000
308,3,44,3.780797000
309,3,44,3.734971000
310,3,44,3.712613000
311,3,44,3.830046000
312,3,44,3.682694000
313,3,44,3.859214000
314,3,44,4.118402000
315,3,44,4.103579000
316,3,44,3.703024000
317,3,44,3.746034000
318,3,44,3.707631000
319,3,44,3.714691000
320,3,44,3.654884000
321,3,44,3.661865000
322,3,44,3.649837000
323,3,44,4.055558000
324,3,44,3.796964000
325,3,44,3.701417000
326,3,44,3.711470000
327,3,44,3.701077000
328,3,44,3.667041000
329,3,44,3.647764000
330,3,44,3.659108000
331,3,44,3.774019000
332,3,44,3.850497000
333,3,44,3.686217000
334,3,44,3.693221000
335,3,44,3.692219000
336,3,44,3.677685000
337,3,44,3.728231000
338,3,44,3.721918000
339,3,44,3.788329000
340,3,44,3.913030000
341,3,44,3.695022000
342,3,44,3.660603000
343,3,44,3.682999000
344,3,44,3.680721000
345,3,44,3.756647000
346,3,44,3.704609000
347,3,44,4.093271000
348,3,44,3.818578000
349,3,44,3.734377000
350,3,44,3.742797000
351,3,44,3.701646000
352,3,44,3.754363000
353,3,44,3.674024000
354,3,44,3.900300000
355,3,44,4.376577000
356,3,44,3.677711000
357,3,44,3.700511000
358,3,44,3.788974000
359,3,44,3.691302000
360,3,44,3.830882000
361,3,44,3.683915000
362,3,44,3.775426000
363,3,44,4.140368000
364,3,44,3.755294000
365,3,44,3.736989000
366,3,44,3.696047000
367,3,44,3.708001000
368,3,44,3.795581000
369,3,44,3.719232000
370,3,44,3.829452000
371,3,44,4.075416000
372,3,44,3.723691000
373,3,44,3.714368000
374,3,44,3.689875000
375,3,44,3.664729000
376,3,44,3.664969000
377,3,44,3.748817000
378,3,44,3.796721000
379,3,44,3.974276000
380,3,44,3.674069000
381,3,44,3.666817000
382,3,44,3.646605000
383,3,44,3.649021000
384,3,44,3.705573000
385,3,44,3.676905000
386,3,44,3.893241000
387,3,44,4.028846000
388,3,44,3.710506000
389,3,44,3.723904000
390,3,44,3.824208000
391,3,44,3.738100000
392,3,44,3.706324000
393,3,44,3.713280000
394,3,44,3.870543000
395,3,44,4.161444000
396,3,44,3.694266000
397,3,44,3.756150000
398,3,44,3.729259000
399,3,44,3.670435000
400,3,44,3.749538000
401,3,44,3.613882000
402,3,44,3.906157000
403,3,44,4.045356000
404,3,44,3.689051000
405,3,44,3.757686000
406,3,44,3.768890000
407,3,44,3.670606000
408,3,44,3.685261000
409,3,44,3.725852000
410,3,44,3.898337000
411,3,44,3.983076000
412,3,44,3.703071000
413,3,44,3.703095000
414,3,44,3.739349000
415,3,44,3.715970000
416,3,44,3.714735000
417,3,44,3.676367000
418,3,44,3.911988000
419,3,44,4.038854000
420,3,44,3.767656000
421,3,44,3.746545000
422,3,44,3.737822000
