Timestamp,Run,DeviceFilter,Workload,SpeedLine,SpeedNum,SpeedUnit
2026-01-12T10:44:29+01:00,50,,3,"Speed.#1.........:  1313.7 kH/s (56.74ms) @ Accel:16 Loops:124 Thr:512 Vec:1",1313.7,kH/s
2026-01-12T10:44:33+01:00,51,,3,"Speed.#1.........:  1317.0 kH/s (56.62ms) @ Accel:16 Loops:124 Thr:512 Vec:1",1317.0,kH/s
2026-01-12T10:44:37+01:00,52,,3,"Speed.#1.........:  1316.3 kH/s (56.63ms) @ Accel:16 Loops:124 Thr:512 Vec:1",1316.3,kH/s
2026-01-12T10:44:42+01:00,53,,3,"Speed.#1.........:  1315.1 kH/s (56.65ms) @ Accel:16 Loops:124 Thr:512 Vec:1",1315.1,kH/s
2026-01-12T10:44:46+01:00,54,,3,"Speed.#1.........:  1313.8 kH/s (56.72ms) @ Accel:16 Loops:124 Thr:512 Vec:1",1313.8,kH/s
2026-01-12T10:44:50+01:00,55,,3,"Speed.#1.........:  1314.3 kH/s (56.65ms) @ Accel:16 Loops:124 Thr:512 Vec:1",1314.3,kH/s
2026-01-12T10:44:54+01:00,56,,3,"Speed.#1.........:  1313.8 kH/s (56.78ms) @ Accel:16 Loops:124 Thr:512 Vec:1",1313.8,kH/s
2026-01-12T10:44:59+01:00,57,,3,"Speed.#1.........:  1313.0 kH/s (56.73ms) @ Accel:16 Loops:124 Thr:512 Vec:1",1313.0,kH/s
2026-01-12T10:45:03+01:00,58,,3,"Speed.#1.........:  1314.9 kH/s (56.68ms) @ Accel:16 Loops:124 Thr:512 Vec:1",1314.9,kH/s
2026-01-12T10:45:07+01:00,59,,3,"Speed.#1.........:  1315.5 kH/s (56.68ms) @ Accel:16 Loops:124 Thr:512 Vec:1",1315.5,kH/s
2026-01-12T10:45:11+01:00,60,,3,"Speed.#1.........:  1315.1 kH/s (56.67ms) @ Accel:16 Loops:124 Thr:512 Vec:1",1315.1,kH/s
2026-01-12T10:45:16+01:00,61,,3,"Speed.#1.........:  1313.1 kH/s (56.73ms) @ Accel:16 Loops:124 Thr:512 Vec:1",1313.1,kH/s
2026-01-12T10:45:20+01:00,62,,3,"Speed.#1.........:  1313.4 kH/s (56.73ms) @ Accel:16 Loops:124 Thr:512 Vec:1",1313.4,kH/s
2026-01-12T10:45:24+01:00,63,,3,"Speed.#1.........:  1314.5 kH/s (56.68ms) @ Accel:16 Loops:124 Thr:512 Vec:1",1314.5,kH/s
2026-01-12T10:45:28+01:00,64,,3,"Speed.#1.........:  1314.6 kH/s (56.65ms) @ Accel:16 Loops:124 Thr:512 Vec:1",1314.6,kH/s
2026-01-12T10:45:33+01:00,65,,3,"Speed.#1.........:  1315.0 kH/s (56.65ms) @ Accel:16 Loops:124 Thr:512 Vec:1",1315.0,kH/s
2026-01-12T10:45:37+01:00,66,,3,"Speed.#1.........:  1314.6 kH/s (56.69ms) @ Accel:16 Loops:124 Thr:512 Vec:1",1314.6,kH/s
2026-01-12T10:45:41+01:00,67,,3,"Speed.#1.........:  1313.0 kH/s (56.72ms) @ Accel:16 Loops:124 Thr:512 Vec:1",1313.0,kH/s
2026-01-12T10:45:45+01:00,68,,3,"Speed.#1.........:  1313.3 kH/s (56.71ms) @ Accel:16 Loops:124 Thr:512 Vec:1",1313.3,kH/s
2026-01-12T10:45:49+01:00,69,,3,"Speed.#1.........:  1313.4 kH/s (56.73ms) @ Accel:16 Loops:124 Thr:512 Vec:1",1313.4,kH/s
2026-01-12T10:45:54+01:00,70,,3,"Speed.#1.........:  1308.5 kH/s (56.92ms) @ Accel:16 Loops:124 Thr:512 Vec:1",1308.5,kH/s
2026-01-12T10:45:58+01:00,71,,3,"Speed.#1.........:  1315.8 kH/s (56.65ms) @ Accel:16 Loops:124 Thr:512 Vec:1",1315.8,kH/s
2026-01-12T10:46:02+01:00,72,,3,"Speed.#1.........:  1308.0 kH/s (56.98ms) @ Accel:128 Loops:124 Thr:64 Vec:1",1308.0,kH/s
2026-01-12T10:46:07+01:00,73,,3,"Speed.#1.........:  1313.8 kH/s (56.69ms) @ Accel:16 Loops:124 Thr:512 Vec:1",1313.8,kH/s
2026-01-12T10:46:11+01:00,74,,3,"Speed.#1.........:  1312.5 kH/s (56.80ms) @ Accel:16 Loops:124 Thr:512 Vec:1",1312.5,kH/s
2026-01-12T10:46:15+01:00,75,,3,"Speed.#1.........:  1315.4 kH/s (56.66ms) @ Accel:16 Loops:124 Thr:512 Vec:1",1315.4,kH/s
2026-01-12T10:46:19+01:00,76,,3,"Speed.#1.........:  1314.8 kH/s (56.70ms) @ Accel:16 Loops:124 Thr:512 Vec:1",1314.8,kH/s
2026-01-12T10:46:24+01:00,77,,3,"Speed.#1.........:  1317.1 kH/s (56.62ms) @ Accel:32 Loops:124 Thr:256 Vec:1",1317.1,kH/s
2026-01-12T10:46:28+01:00,78,,3,"Speed.#1.........:  1317.6 kH/s (56.60ms) @ Accel:16 Loops:124 Thr:512 Vec:1",1317.6,kH/s
